gameID,teamID,season,date,location,goals,xGoals,shots,shotsOnTarget,deep,ppda,fouls,corners,yellowCards,redCards,result
130,81,2015,2015-09-14 23:00:00,h,2,1.71282,17,3,4,11.72,8,6,0.0,0,W
130,86,2015,2015-09-14 23:00:00,a,0,0.716599,14,4,4,8.2222,11,7,2.0,0,L
131,80,2015,2015-09-19 15:45:00,h,2,2.0687,22,6,14,6.0938,12,5,3.0,0,W
131,83,2015,2015-09-19 15:45:00,a,0,0.775312,9,2,5,13.1818,11,5,1.0,2,L
132,86,2015,2015-09-19 18:00:00,h,1,1.15114,15,5,7,9.4444,8,5,1.0,0,L
132,90,2015,2015-09-19 18:00:00,a,2,1.33961,13,4,10,7.5946,12,5,2.0,0,W
133,71,2015,2015-09-19 18:00:00,h,0,0.876719,13,3,5,6.12,10,2,2.0,0,L
133,76,2015,2015-09-19 18:00:00,a,1,0.632761,11,6,2,8.4138,11,7,3.0,0,W
134,73,2015,2015-09-19 18:00:00,h,2,0.644335,15,5,7,8.5185,14,7,2.0,0,W
134,77,2015,2015-09-19 18:00:00,a,0,0.854867,9,2,2,9.2692,15,3,4.0,1,L
135,85,2015,2015-09-19 18:00:00,h,2,1.14717,11,4,2,6.9565,7,3,1.0,0,D
135,75,2015,2015-09-19 18:00:00,a,2,1.22582,12,5,3,6.0,12,4,4.0,0,D
136,84,2015,2015-09-19 18:00:00,h,0,0.864868,12,3,4,8.5769,12,2,2.0,0,D
136,72,2015,2015-09-19 18:00:00,a,0,1.77458,17,2,12,9.0,11,4,2.0,1,D
137,88,2015,2015-09-19 20:30:00,h,1,2.98465,27,8,15,3.6667,10,16,1.0,0,L
137,81,2015,2015-09-19 20:30:00,a,2,0.995273,6,3,3,23.7692,7,3,2.0,0,W
138,82,2015,2015-09-20 16:30:00,h,1,1.01573,21,6,10,5.1765,9,6,1.0,0,W
138,78,2015,2015-09-20 16:30:00,a,0,0.538439,12,4,5,10.1739,11,5,2.0,0,L
139,74,2015,2015-09-20 19:00:00,h,2,1.83663,15,8,7,17.45,6,5,2.0,0,L
139,89,2015,2015-09-20 19:00:00,a,3,1.65119,10,3,4,12.2353,13,5,0.0,0,W
140,87,2015,2015-09-20 19:00:00,h,1,1.90447,23,7,12,8.8636,4,6,1.0,0,D
140,79,2015,2015-09-20 19:00:00,a,1,0.556271,7,2,3,15.1905,13,2,2.0,0,D
141,82,2015,2015-09-26 15:45:00,h,4,2.30799,15,8,3,5.2895,17,5,5.0,0,W
141,88,2015,2015-09-26 15:45:00,a,1,1.57842,22,8,17,10.9,6,9,1.0,0,L
142,74,2015,2015-09-26 18:00:00,h,3,1.55418,17,6,10,11.7037,18,4,3.0,0,W
142,84,2015,2015-09-26 18:00:00,a,1,1.41962,11,4,4,11.1111,14,3,1.0,0,L
143,85,2015,2015-09-26 18:00:00,h,2,1.94483,8,5,3,10.4286,13,3,1.0,0,W
143,73,2015,2015-09-26 18:00:00,a,1,0.871678,12,6,8,9.95,11,7,0.0,0,L
144,75,2015,2015-09-26 18:00:00,h,2,1.38516,16,7,8,10.3333,9,6,1.0,0,L
