"playerID","name"
"471","Shaun MacDonald"
"763","Robert Elliot"
"853","Paul Dummett"
"524","Adrian Mariappa"
"787","Ryan Bennett"
"567","Miguel Britos"
"652","Kieran Trippier"
"952","Gastón Ramírez"
"797","Youssouf Mulumbu"
"886","Ryan Shawcross"
"506","Joel Campbell"
"500","Alex Iwobi"
"539","Enner Valencia"
"891","Leon Osman"
"928","Wes Brown"
"881","Harry Arter"
"661","Josh Onomah"
"958","Tokelo Rantie"
"1037","Cameron Borthwick-Jackson"
"1066","Charles N&#039;Zogbia"
"922","Andreas Pereira"
"476","Kolo Touré"
"657","Alexandre Song"
"905","Marouane Chamakh"
"949","Giedrius Arlauskis"
"1050","Ryan Allsop"
"823","Vadis Odjidja-Ofoe"
"799","Declan Rudd"
"547","Guillermo Varela"
"676","Jores Okore"
"695","Bertrand Traoré"
"588","Leighton Baines"
"613","Gaël Clichy"
"973","Paulo Gazzaniga"
"1072","Nick Powell"
"760","Marcin Wasilewski"
"698","Adam Bogdan"
"726","Vito Mannone"
"780","Karl Darlow"
"721","Jordi Amat"
"1045","Matt Grimes"
"829","Marvin Emnes"
"477","Brad Smith"
"910","Harrison Reed"
"666","Aly Cissokho"
"1026","Libor Kozák"
"1060","Jonathan Williams"
"678","Mark Bunn"
"826","Benik Afobe"
"827","Juan Iturbe"
"831","Fraser Forster"
"924","Steven Pienaar"
"741","Jordan Pickford"
"232","Jan Kirchhoff"
"778","Henri Saivet"
"762","Demarai Gray"
"898","Obbi Oularé"
"786","Ivo Pinto"
"650","Kevin Wimmer"
"848","Charlie Austin"
"803","Ben Foster"
"575","Nordin Amrabat"
"777","Emmanuel Rivière"
"902","Sam Byram"
"937","João Teixeira"
"162","Timm Klose"
"728","Lamine Koné"
"731","Dame N&#039;Doye"
"734","Wahbi Khazri"
"521","Emmanuel Adebayor"
"817","Sandro"
"716","Alberto Paloschi"
"584","Joel Robles"
"576","Mario Suárez"
"1054","Bersant Celina"
"861","Giannelli Imbula"
"1059","Hiram Boateng"
"538","Emmanuel Emenike"
"1048","Donald Love"
"1047","Will Keane"
"869","Dionatan Teixeira"
"776","Seydou Doumbia"
"501","Danny Welbeck"
"673","Jordan Lyden"
"479","Kevin Stewart"
"759","Daniel Amartey"
"711","Leroy Fer"
"556","Marcus Rashford"
"549","Timothy Fosu-Mensah"
"562","James Weir"
"496","Mohamed Elneny"
"599","Oumar Niasse"
"892","Stephen Kingsley"
"896","Jay Fulton"
"490","Jon Flanagan"
"505","David Ospina"
"906","Manu García"
"893","Sébastien Pocognoli"
"874","Andre Green"
"478","Sheyi Ojo"
"683","Matt Miazga"
"693","Jake Clarke-Salter"
"691","Alexandre Pato"
"870","Jakob Haugaard"
"879","Jonathan Leko"
"1042","Tom Davies"
"1043","Callum Connolly"
"473","Danny Ward"
"474","Connor Randall"
"889","Shay Given"
"523","Julian Speroni"
"901","Kevin Toner"
"1036","Jack Wilshere"
"920","Matthew Pennington"
"1031","Tony Hibbert"
"1032","Kieran Dowell"
"1022","Pedro Chirivella"
"1023","Cameron Brannagan"
"1015","Rushian Hepburn-Murphy"
"702","Tammy Abraham"
"703","Fikayo Tomori"
"1084","Jonjoe Kenny"
"779","Jamie Sterry"
"1070","Sullay Kaikai"
"722","Kristoffer Nordfeldt"
"1079","Thomas Robson"
"1080","Rees Greenwood"
"1046","George Honeyman"
"1014","Tyler Roberts"
"1013","Sam Field"
"1078","Sergi Canos"
"1697","Eldin Jakupovic"
"1685","Ahmed Elmohamady"
"1686","Curtis Davies"
"1689","Jake Livermore"
"1688","Andrew Robertson"
"1695","Tom Huddlestone"
"1693","David Meyler"
"1690","Sam Clucas"
"1691","Robert Snodgrass"
"1698","Abel Hernández"
"1694","Adama Diomande"
"1680","Luis Hernández"
"1681","Ahmed Musa"
"1737","Matt Phillips"
"985","Mason Holgate"
"1730","Vincent Janssen"
"1651","Tom Heaton"
"1652","Matthew Lowton"
"1654","Ben Mee"
"1653","Michael Keane"
"1655","Stephen Ward"
"1656","George Boyd"
"1787","David Jones"
"1658","Dean Marney"
"1659","Scott Arfield"
"1661","Sam Vokes"
"1660","Andre Gray"
"1663","Johann Berg Gudmundsson"
"1664","Lukas Jutkiewicz"
"1728","Fernando Llorente"
"1705","Víctor Valdés"
"1757","Nsue"
"1706","Antonio Barragán"
"1707","Ben Gibson"
"1708","George Friend"
"1710","Marten de Roon"
"1717","Adam Clayton"
"1782","Albert Adomah"
"1712","Stewart Downing"
"1715","Álvaro Negredo"
"1753","David Nugent"
"1711","Adam Forshaw"
"343","Pierre-Emile Højbjerg"
"1784","Jérémy Pied"
"1722","Juan Zuñiga"
"1732","Nolito"
"1027","Lynden Gooch"
"1789","Lewis Cook"
"1739","Eric Bailly"
"1741","Zlatan Ibrahimovic"
"317","Henrikh Mkhitaryan"
"1749","Rob Holding"
"204","Granit Xhaka"
"265","Ragnar Klavan"
"1678","Michy Batshuayi"
"1760","Arthur Masuaku"
"202","Håvard Nordtveit"
"1703","Gökhan Töre"
"1740","Paul Pogba"
"1764","Ramadan Sobhi"
"1657","Steven Defour"
"1662","Aiden O&#039;Neill"
"1669","Marko Grujic"
"1692","Shaun Maloney"
"1726","Abdoulaye Doucouré"
"1017","Matej Vydra"
"1785","Nampalys Mendy"
"1071","Papy Djilobodji"
"1754","Joel Asoro"
"1709","Cristhian Stuani"
"1718","Daniel Ayala"
"1672","Jonathan Calleri"
"1675","Ashley Fletcher"
"1683","Ryan Fraser"
"971","Harry Winks"
"332","Joel Matip"
"1725","Christian Kabasele"
"1723","Roberto Pereyra"
"1724","Isaac Success"
"91","Ron-Robert Zieler"
"1736","Oliver McBurnie"
"1719","Javier Manquillo"
"1665","James Tarkowski"
"1670","Steve Mandanda"
"1687","Harry Maguire"
"1713","Viktor Fischer"
"1731","Claudio Bravo"
"337","Leroy Sané"
"1765","Jonathan Benteke"
"1743","Bruno Martins Indi"
"1699","Shkodran Mustafi"
"1700","Lucas Pérez"
"1746","Jeff Hendrick"
"1642","Simone Zaza"
"1763","Stefano Okaka"
"1039","Jason Denayer"
"1720","Didier Ndong"
"1676","David Luiz"
"1682","Islam Slimani"
"314","Ilkay Gündogan"
"1055","Aleix García"
"1738","Hal Robson-Kanu"
"1674","Sofiane Feghouli"
"1701","Borja Bastón"
"1714","Jordan Rhodes"
"1729","Georges-Kévin Nkoudou"
"1742","Lee Grant"
"1671","Ezekiel Fryers"
"1702","Mike van der Hoorn"
"37","Loris Karius"
"1684","David Marshall"
"1696","Markus Henriksen"
"1621","Marcos Alonso"
"1704","Álvaro Arbeloa"
"1673","Edimilson Fernandes"
"1668","Michael Kightly"
"1677","Nathaniel Chalobah"
"725","Ola Aina"
"1733","Sam McQueen"
"1727","Alfie Mawson"
"1744","Michael Dawson"
"1734","Sofiane Boufal"
"1410","Rafael"
"1842","Eros Pisano"
"1853","Vangelis Moras"
"2034","Rafael Márquez"
"1954","Samuel Souprayen"
"1151","Emil Hallfredsson"
"1996","Leandro Greco"
"1221","Jacopo Sala"
"1959","Bosko Jankovic"
"1955","Luca Toni"
"1851","Juanito Gómez"
"1849","Rômulo"
"1847","Giampaolo Pazzini"
"1846","Luca Siligardi"
